// 发电机 CEN1
发电机额定视在功率	Srg
发电机额定线电压	Ur
发电机额定线电流	Irg
发电机额定频率	f
发电机直轴电抗	xd
发电机直轴瞬态电抗	xd_d
发电机直轴超瞬态电抗	xd_dd
发电机电枢电阻	Ra
发电机直轴时间常数	Tdc
发电机直轴超瞬态时间常数	Td_dd
（预留）发电机出口电缆-单位电阻	r1
（预留）发电机出口电缆-单位电抗	x1
（预留）发电机出口电缆-电缆长度	l1
（预留）发电机出口电缆-并联根数	a1
发电机额定有功功率	Png
空载励磁电流	Iof
短路励磁电流	Ikf
短路比	SCR
// 变压器 T1
变压器绕组接线方式	winding
变压器额定容量	Srt
变压器初级侧电压	Ur
变压器次级侧电压	Urt2
变压器短路电压	Uk
变压器短路损耗	Pk
（预留）变压器初级侧电缆-单位电阻	r1
（预留）变压器初级侧电缆-单位电抗	x1
（预留）变压器初级侧电缆-电缆长度	l1
（预留）变压器初级侧电缆-并联根数	a1
（预留）变压器次级侧电缆-单位电阻	r2
（预留）变压器次级侧电缆-单位电抗	x2
（预留）变压器次级侧电缆-电缆长度	l2
（预留）变压器次级侧电缆-并联根数	a2
变压器空载损耗	P0
（预留）折算到初级侧的变压器电阻	rt
（预留）折算到初级侧的变压器电阻	xt
// 电动机 MTR1
电动机额定功率	Prm
电动机额定线电压	Urm
（预留）电动机出口电缆-单位电阻	r1
（预留）电动机出口电缆-单位电抗	x1
（预留）电动机出口电缆-电缆长度	l1
（预留）电动机出口电缆-并联根数	a1
电动机额定相电压	Vnm
电动机额定线电流	Inm
// 线缆 BUS
线路（电缆）首端电压	Ur1
线路（电缆）末端电压	Ur2
电缆-单位电阻	r1
电缆-单位电抗	x1
电缆-电缆长度	l1
电缆-并联根数	a1
// 断路器 BC2
断路器额定电压	Ur
断路器接通能力	Ion
断路器分断能力	Ioff
短路功率因数	cosφk
